battle_id,battle_type,game_mode,arena_name,is_ladder
15f8689d3418ea3edae1783f494d1716,clanMate,PickMode,Legendary Arena,0
1600815f5543d8bd6a451b11b4c6bde7,tournament,Draft_Competitive,Bone Pit,0
16249b0ab2f15e0b6314025a8e239663,friendly,PickMode,Legendary Arena,0
162b0c8134f049e18cbc0692d51e3bd8,PvP,Ladder,Royal Arena,1
1644346b4545a459903096263300cdd7,trail,Showdown_Friendly,Legendary Arena,0
167fe95f11b00b2c8190a80a5de098a9,PvP,Ladder,Frozen Peak,1
16a1a07029f834daca00bf64e5193002,tournament,TripleElixir_Tournament,Goblin Stadium,0
16bd2fae2e93942f16f6b14c21175331,trail,TeamVsTeam,Legendary Arena,0
16d099c3d22dc1d5bd77a565f9c6f90b,trail,Showdown_Friendly,Legendary Arena,0
16d5b64e1f2fb090be5870e112cd1ada,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
16f7f18ecb9f665f1ec1cb7e757e679e,tournament,Draft_Competitive,Lumberlove Cabin,0
16fbc4b9ce4f16965352611591c06668,PvP,Ladder,Dragon Spa,1
17041cb61b756f64ee3ccec5a0bcb9bf,trail,Ladder,Seasonal Arena 5,0
17043c6e3c3267e4db3bd9373ccfa722,boatBattle,ClanWar_BoatBattle,Legendary Arena,0
171a44e06a333b4b81a5199147d57caa,PvP,Ladder,Lumberlove Cabin,1
172c6bfe07425c0888fcec349065033d,tournament,Draft_Competitive,Bone Pit,0
173f7c93c56559b5a78a6424e0eac381,PvP,Ladder,Legendary Arena,1
