snapshot_id,deck_id,games_played,games_won,win_rate,pick_rate
1,2625,4,2,50.00,0.24
1,2626,1,1,100.00,0.06
1,2627,1,1,100.00,0.06
1,2628,1,0,0.00,0.06
1,2629,1,0,0.00,0.06
1,2630,3,2,66.67,0.18
1,2631,1,1,100.00,0.06
1,2632,1,0,0.00,0.06
1,2633,1,0,0.00,0.06
1,2634,3,1,33.33,0.18
1,2635,1,1,100.00,0.06
1,2636,1,1,100.00,0.06
1,2637,1,0,0.00,0.06
1,2709,1,1,100.00,0.06
1,2710,1,0,0.00,0.06
1,2711,1,0,0.00,0.06
1,2712,1,1,100.00,0.06
1,2713,2,2,100.00,0.12
1,2714,1,0,0.00,0.06
1,2715,1,0,0.00,0.06
1,2716,2,0,0.00,0.12
1,2717,1,1,100.00,0.06
1,2718,1,1,100.00,0.06
1,2719,1,1,100.00,0.06
1,2720,1,0,0.00,0.06
1,2721,4,3,75.00,0.24
1,2722,1,1,100.00,0.06
1,2723,1,0,0.00,0.06
1,2724,1,0,0.00,0.06
1,2725,2,1,50.00,0.12
1,2726,1,1,100.00,0.06
1,2727,7,4,57.14,0.42
1,2728,1,1,100.00,0.06
1,2729,1,1,100.00,0.06
1,2730,2,1,50.00,0.12
1,2731,1,1,100.00,0.06
1,2732,1,0,0.00,0.06
1,2733,1,0,0.00,0.06
1,2734,1,1,100.00,0.06
1,2735,1,0,0.00,0.06
1,2805,1,1,100.00,0.06
1,2806,1,0,0.00,0.06
1,2809,1,1,100.00,0.06
1,2810,2,1,50.00,0.12
1,2811,1,0,0.00,0.06
1,2812,1,1,100.00,0.06
1,2813,16,10,62.50,0.97
1,2814,1,1,100.00,0.06
1,2815,1,0,0.00,0.06
1,2816,1,1,100.00,0.06
1,2817,1,0,0.00,0.06
1,2818,1,1,100.00,0.06
1,2819,1,1,100.00,0.06
1,2820,1,0,0.00,0.06
1,2821,1,0,0.00,0.06
1,2822,1,1,100.00,0.06
1,2823,1,0,0.00,0.06
1,2824,1,0,0.00,0.06
1,2825,1,0,0.00,0.06
1,2826,1,0,0.00,0.06
1,2827,1,0,0.00,0.06
1,2828,2,1,50.00,0.12
1,2829,1,0,0.00,0.06
1,2830,1,1,100.00,0.06
1,2831,2,2,100.00,0.12
1,2832,1,0,0.00,0.06
1,2833,1,0,0.00,0.06
1,2843,6,6,100.00,0.36
1,2845,1,0,0.00,0.06
1,2846,1,0,0.00,0.06
1,2847,1,0,0.00,0.06
1,2848,1,0,0.00,0.06
1,2849,1,0,0.00,0.06
1,2850,1,0,0.00,0.06
1,2873,4,4,100.00,0.24
1,2880,1,0,0.00,0.06
1,2881,1,0,0.00,0.06
1,2882,3,3,100.00,0.18
1,2883,2,0,0.00,0.12
1,2884,1,1,100.00,0.06
1,2885,2,2,100.00,0.12
1,2886,1,0,0.00,0.06
1,2895,1,0,0.00,0.06
1,2921,1,1,100.00,0.06
1,2923,1,0,0.00,0.06
1,2924,1,1,100.00,0.06
1,2925,1,1,100.00,0.06
1,2928,1,0,0.00,0.06
1,2929,1,0,0.00,0.06
1,2932,6,2,33.33,0.36
1,2939,2,2,100.00,0.12
1,2940,1,0,0.00,0.06
1,2941,1,0,0.00,0.06
1,2942,1,1,100.00,0.06
1,2943,1,0,0.00,0.06
1,2944,1,1,100.00,0.06
1,2945,1,0,0.00,0.06
1,2946,1,1,100.00,0.06
1,2947,3,2,66.67,0.18
1,2948,1,1,100.00,0.06
1,2949,1,0,0.00,0.06
1,2950,1,1,100.00,0.06
1,2951,1,0,0.00,0.06
1,2953,2,0,0.00,0.12
1,2954,1,1,100.00,0.06
1,2955,1,1,100.00,0.06
1,2956,1,0,0.00,0.06
1,2957,1,1,100.00,0.06
1,2958,3,2,66.67,0.18
1,2959,1,0,0.00,0.06
1,2960,1,0,0.00,0.06
1,2961,1,0,0.00,0.06
1,2962,1,1,100.00,0.06
1,3017,1,1,100.00,0.06
1,3018,1,1,100.00,0.06
1,3019,1,0,0.00,0.06
1,3024,1,0,0.00,0.06
1,3025,1,0,0.00,0.06
1,3026,1,0,0.00,0.06
1,3048,2,1,50.00,0.12
1,3051,1,1,100.00,0.06
1,3052,1,0,0.00,0.06
1,3053,6,3,50.00,0.36
1,3054,1,1,100.00,0.06
1,3055,1,0,0.00,0.06
1,3056,1,1,100.00,0.06
1,3057,1,0,0.00,0.06
1,3058,1,1,100.00,0.06
1,3059,7,4,57.14,0.42
1,3060,1,1,100.00,0.06
1,3064,1,1,100.00,0.06
1,3065,1,0,0.00,0.06
1,3066,1,0,0.00,0.06
1,3067,1,0,0.00,0.06
1,3068,1,1,100.00,0.06
1,3069,1,0,0.00,0.06
1,3070,1,0,0.00,0.06
1,3071,1,1,100.00,0.06
1,3072,3,1,33.33,0.18
1,3073,1,1,100.00,0.06
1,3074,1,0,0.00,0.06
1,3089,1,1,100.00,0.06
1,3090,1,0,0.00,0.06
1,3091,1,1,100.00,0.06
1,3092,1,0,0.00,0.06
1,3093,1,0,0.00,0.06
1,3096,1,1,100.00,0.06
1,3097,1,0,0.00,0.06
1,3098,1,0,0.00,0.06
1,3099,1,1,100.00,0.06
1,3100,1,1,100.00,0.06
1,3101,1,0,0.00,0.06
1,3102,1,0,0.00,0.06
1,3103,1,1,100.00,0.06
1,3104,1,0,0.00,0.06
1,3123,1,0,0.00,0.06
1,3124,1,0,0.00,0.06
1,3125,1,1,100.00,0.06
1,3126,1,0,0.00,0.06
1,3186,1,0,0.00,0.06
1,3187,1,0,0.00,0.06
1,3188,1,0,0.00,0.06
1,3226,1,0,0.00,0.06
1,3227,1,0,0.00,0.06
1,3228,1,0,0.00,0.06
1,3229,1,0,0.00,0.06
1,3230,1,0,0.00,0.06
1,3231,1,1,100.00,0.06
1,3232,1,0,0.00,0.06
1,3233,1,0,0.00,0.06
1,3261,1,0,0.00,0.06
1,3265,1,1,100.00,0.06
1,3266,1,0,0.00,0.06
1,3267,1,0,0.00,0.06
1,3301,1,0,0.00,0.06
1,3302,1,1,100.00,0.06
1,3303,1,0,0.00,0.06
1,3304,1,1,100.00,0.06
1,3305,2,0,0.00,0.12
1,3306,1,0,0.00,0.06
1,3307,1,1,100.00,0.06
1,3308,1,1,100.00,0.06
1,3311,1,1,100.00,0.06
1,3378,1,0,0.00,0.06
1,3379,1,1,100.00,0.06
1,3380,1,0,0.00,0.06
1,3381,1,0,0.00,0.06
1,3382,2,0,0.00,0.12
1,3383,1,1,100.00,0.06
1,3389,1,1,100.00,0.06
1,3390,1,0,0.00,0.06
1,3391,1,0,0.00,0.06
1,3392,1,1,100.00,0.06
1,3442,2,0,0.00,0.12
1,3443,1,1,100.00,0.06
1,3444,1,1,100.00,0.06
1,3477,1,1,100.00,0.06
1,3488,4,4,100.00,0.24
1,3489,1,0,0.00,0.06
1,3494,1,0,0.00,0.06
1,3495,1,0,0.00,0.06
1,3496,1,0,0.00,0.06
1,3577,3,2,66.67,0.18
1,3578,1,1,100.00,0.06
1,3579,1,0,0.00,0.06
1,3580,1,0,0.00,0.06
1,3581,1,1,100.00,0.06
1,3582,1,0,0.00,0.06
1,3599,1,1,100.00,0.06
1,3600,1,0,0.00,0.06
1,3601,1,0,0.00,0.06
1,3602,1,0,0.00,0.06
1,3603,1,0,0.00,0.06
1,3629,1,1,100.00,0.06
1,3630,1,0,0.00,0.06
1,3635,1,1,100.00,0.06
1,3636,1,0,0.00,0.06
1,3637,1,0,0.00,0.06
1,3638,1,0,0.00,0.06
1,3639,1,0,0.00,0.06
1,3669,1,0,0.00,0.06
1,3670,1,0,0.00,0.06
1,3671,1,1,100.00,0.06
1,3672,1,0,0.00,0.06
1,3673,1,1,100.00,0.06
1,3674,1,1,100.00,0.06
1,3676,1,0,0.00,0.06
1,3677,1,0,0.00,0.06
1,3678,1,1,100.00,0.06
1,3679,1,0,0.00,0.06
1,3680,1,0,0.00,0.06
1,3681,1,0,0.00,0.06
1,3682,1,1,100.00,0.06
1,3742,1,1,100.00,0.06
1,3743,1,0,0.00,0.06
1,3744,1,1,100.00,0.06
1,3746,2,0,0.00,0.12
1,3748,1,1,100.00,0.06
1,3749,1,1,100.00,0.06
1,3750,1,0,0.00,0.06
1,3755,1,0,0.00,0.06
1,3756,1,0,0.00,0.06
1,3757,1,1,100.00,0.06
1,3758,1,1,100.00,0.06
1,3759,1,1,100.00,0.06
1,3760,1,1,100.00,0.06
1,3761,1,0,0.00,0.06
1,3762,1,0,0.00,0.06
1,3763,1,0,0.00,0.06
1,3764,1,0,0.00,0.06
1,3765,1,1,100.00,0.06
1,3766,1,1,100.00,0.06
1,3767,1,0,0.00,0.06
1,3768,1,1,100.00,0.06
1,3769,1,1,100.00,0.06
1,3791,1,1,100.00,0.06
1,3792,1,1,100.00,0.06
1,3793,1,0,0.00,0.06
1,3794,1,0,0.00,0.06
1,3795,1,0,0.00,0.06
1,3796,1,0,0.00,0.06
1,3797,1,0,0.00,0.06
1,3798,1,0,0.00,0.06
